attributes,sion,bern_large,plateau,neuchatel,lausanne_lake,zurich_large,stgallen,bern,lausanne,zurich_kreis,frutigen,locarno,linthal,zermatt,lugano,luzern
node_straightness,"[8832, 0.3217083532251016, 0.7259823404756085, 0.5477271494856919]","[8832, 0.3217083532251016, 0.7259823404756085, 0.5477271494856919]","[8832, 0.3217083532251016, 0.7259823404756085, 0.5477271494856919]","[8438, 0.4609637893854933, 0.7644225570796249, 0.6392386816119701]","[8832, 0.3217083532251016, 0.7259823404756085, 0.5477271494856919]","[8832, 0.3217083532251016, 0.7259823404756085, 0.5477271494856919]","[5331, 0.28100153416670015, 0.7514852662008183, 0.6345695008833251]","[6605, 0.31769812810233344, 0.7855919848203078, 0.6752015958945851]","[5581, 0.29788528452016344, 0.8018967011983911, 0.6721492478505016]","[6837, 0.3299782880504382, 0.8126333256432308, 0.7365817160550362]","[2623, 0.41749439125052973, 0.777037780500326, 0.6640027001768802]","[2263, 0.32117146877018177, 0.76873056648596, 0.6613621815090506]","[2897, 0.38501861672588616, 0.8270971346628196, 0.7494155885452567]","[1025, 0.2575857961775821, 0.8065842215389455, 0.5704618693571694]","[1800, 0.2564076008494293, 0.7293495375002355, 0.6022962406437646]","[1523, 0.262168194552464, 0.8080703043674701, 0.6673346990646738]"
node_closeness*,"[8832, 0.0, 0.25368858518964327, 0.013200012069197494]","[12968, 0.0, 0.13701834463666182, 0.00813170848683433]","[13504, 0.0, 0.23752741001185043, 0.009534208483990714]","[8438, 0.0, 0.3146265015132098, 0.013144371376501315]","[11285, 0.0, 0.1934406720239246, 0.010223628856805172]","[13616, 4.552065209872341e-05, 0.0001627894631258557, 0.0001136005333942371]","[5331, 0.0, 0.21494460027383883, 0.015321317603780409]","[6605, 0.0, 0.18939792339678577, 0.01129383798377355]","[5581, 0.0, 0.1513218090625303, 0.013202064705718707]","[6837, 0.0, 0.14642556746995017, 0.01017478774024271]","[2623, 0.0, 0.49939816031460965, 0.034188757962528966]","[2263, 0.0, 0.5741833519670607, 0.03971480219219267]","[2897, 0.0, 0.49734611017280694, 0.03497051865015845]","[1025, 0.0, 0.5337672974706745, 0.06741825308305296]","[1800, 0.0, 0.38812874041381284, 0.0222103220804978]","[1523, 9.69618038144925e-05, 0.0004135174958492697, 0.00028695799476626547]"
node_load_centrality,"[8832, 0.0, 0.17078979016684215, 0.010156859653579044]","[12968, 0.0, 0.12658391464292434, 0.006580925034647705]","[13504, 0.0, 0.23828717724554915, 0.008427522566213905]","[8438, 0.0, 0.24395015637881026, 0.009844812399269105]","[11285, 0.0, 0.18101037855428556, 0.008509091240661975]","[13616, 0.0, 0.12024749776000289, 0.00587254561261386]","[5331, 0.0, 0.23251830271993187, 0.01210712751184647]","[6605, 0.0, 0.12597555309122518, 0.009228870764548112]","[5581, 0.0, 0.1377989566489091, 0.01046028479067399]","[6837, 0.0, 0.1533695303699698, 0.008347698561221946]","[2623, 0.0, 0.4672346571138682, 0.026006308248205028]","[2263, 0.0, 0.5434404859831218, 0.03728810912325418]","[2897, 0.0, 0.4696188924544105, 0.030925104033082258]","[1025, 0.0, 0.5183305936125366, 0.06306704374091003]","[1800, 0.0, 0.21322365490105968, 0.01874022883392351]","[1523, 0.0, 0.2791571380725328, 0.025021069041961327]"
edge_load_centrality,"[20882, 8832.0, 11747064.022569453, 727740.2056316417]","[31069, 12968.0, 22961647.554687537, 1007365.1328333716]","[32158, 13504.0, 47005756.80078125, 1413181.2984016438]","[20570, 8438.0, 18800396.777994774, 629049.4287797712]","[27721, 11285.0, 24757596.593750954, 959580.4748385695]","[33855, 13616.0, 23908540.750000067, 952831.1993501765]","[12572, 5331.0, 5776346.072916685, 315438.23496659467]","[16534, 6605.0, 6077409.631510423, 357874.94641345023]","[13984, 5581.0, 4442680.481770833, 284949.0155892457]","[17514, 6837.0, 7477564.4552951725, 334265.29850405466]","[5819, 2623.0, 3354850.3125, 171160.38443031415]","[5402, 2263.0, 2511466.0, 174018.70085153633]","[6828, 2897.0, 4243023.6171875, 238974.13591095465]","[2324, 1025.0, 552175.0, 62619.32444061961]","[4326, 1800.0, 607091.090494792, 55268.028201572044]","[3698, 1523.0, 632029.5694444445, 51984.18658734459]"
clustering*,"[8832, 0, 1.0, 0.01457931724575741]","[12968, 0, 1.0, 0.023013936719596773]","[13504, 0, 1.0, 0.01840021443472283]","[8438, 0, 1.0, 0.024273498866193618]","[11285, 0, 1.0, 0.0227959862791615]","[13616, 0, 1.0, 0.015727913283691285]","[5331, 0, 1.0, 0.018793460615820382]","[6605, 0, 1.0, 0.023421654886454285]","[5581, 0, 1.0, 0.022032960584766975]","[6837, 0, 1.0, 0.012667050140549613]","[2623, 0, 1.0, 0.011400487934990404]","[2263, 0, 1.0, 0.013930717487942402]","[2897, 0, 1.0, 0.02354159475319299]","[1025, 0, 1.0, 0.02244777986241401]","[1800, 0, 1.0, 0.01567889363722696]","[1523, 0, 1.0, 0.021682033509451686]"
clustering_w*,"[8832, 0, 0.32137480396899354, 0.0017069576855365232]","[12968, 0, 0.40963316628624297, 0.0016393439974430326]","[13504, 0, 0.41193254570456117, 0.0016271871355293867]","[8438, 0, 0.30912377124463963, 0.0019017287712437202]","[11285, 0, 0.4299234955643722, 0.0018216611693449086]","[13616, 0, 0.16911328938776396, 0.001163410345057375]","[5331, 0, 0.2150047246781842, 0.0014746369285093541]","[6605, 0, 0.41201136019322065, 0.0016160638816051648]","[5581, 0, 0.1695170506073884, 0.001381643044094696]","[6837, 0, 0.15099242577843208, 0.0005650848108725424]","[2623, 0, 0.18530083666900482, 0.0012891622026599857]","[2263, 0, 0.18573941787881304, 0.0016652058407236288]","[2897, 0, 0.17239004075146444, 0.0021392139131647444]","[1025, 0, 0.4120909596210654, 0.0028621602220901057]","[1800, 0, 0.21852182640608667, 0.0015908190839902408]","[1523, 0, 0.20829780001283738, 0.0013571273277455003]"
eccentricity,"[8832, 159, 323, 235.7385643115942]","[12968, 113, 218, 162.9039944478717]","[13504, 163, 317, 232.84767476303318]","[8438, 116, 201, 158.58793552974637]","[11285, 140, 268, 201.87815684536997]","[13616, 114, 212, 158.80544947121035]","[5331, 96, 187, 132.783717876571]","[6605, 85, 161, 116.61377744133232]","[5581, 90, 162, 120.89231320551872]","[6837, 82, 165, 113.8446687143484]","[2623, 95, 202, 142.94929470072435]","[2263, 134, 268, 201.1524524966858]","[2897, 140, 280, 205.73731446323782]","[1025, 98, 194, 146.28]","[1800, 47, 96, 69.38666666666667]","[1523, 60, 122, 88.07682206172029]"
radius,159,113,163,116,140,114,96,85,90,82,95,134,140,98,47,60
diameter,323,218,317,201,268,212,187,161,162,165,202,268,280,194,96,122
center_nodes,['286499220'],[7209667],['21633751'],"['425843195', '2421994524', '493602386', '2421994501', '425843237', '247294203', '493603826', '418784284', '275674412', '418784283', '418784315', '1984422860']",['310150986'],"[4041937360, 2894177687, 130104030, 29271855, 4041937385]",['1346785354'],[479733667],"[2127692205, 4477008108, 4477008106]","['1043342319', '92990893']","[1460901253, 1460901240]",['821894297'],"['1795649559', '33229292']","['294155061', '3072469317', '294155066']","['309955430', '310233911', '302677130']",[271432645]
periphery_nodes,['540233558'],"[153537971, 304099887, 304099885, 1401572960]",['1546863827'],"['82623734', '3554407986', '2500658833', '4110232800', '4110232802', '283736437']",['412536902'],[1407689411],['795045059'],"[312073823, 312073770]","[1676710493, 1676710494, 1434985579, 263289222]",['261623502'],[734379],"['3910530510', '2950786154']","['2090038726', '2090038685', '2090038729', '2090038745']",['804764842'],['452580023'],[626424488]
barycenter_nodes,['653292208'],[3456210767],['64583293'],['4577875386'],['4477029852'],[1043342346],['3214219979'],[338958784],[258314545],['109864590'],[1594460162],['11219833'],['31367550'],['60133266'],['276053413'],[1483240208]
